STATION,PRECIP,ALTITUDE,LATITUDE,DISTANCE,SHADOW
Eureka                   ,39.57,43,40.8,1,1
RedBluff                 ,23.27,341,40.2,97,2
Thermal                  ,18.2,4152,33.8,70,2
FortBragg                ,37.48,74,39.4,1,1
SodaSprings              ,49.26,6752,39.3,150,1
SanFrancisco             ,21.82,52,37.8,5,1
Sacramento               ,18.07,25,38.5,80,2
SanJose                  ,14.17,95,37.4,28,2
GiantForest              ,42.63,6360,36.6,145,1
Salinas                  ,13.85,74,36.7,12,2
Fresno                   ,9.44,331,36.7,114,2
PtPiedras                ,19.33,57,35.7,1,1
PasaRobles               ,15.67,740,35.7,31,2
Bakersfield              ,6,489,35.4,75,2
Bishop                   ,5.73,4108,37.3,198,2
Mineral                  ,47.82,4850,40.4,142,1
SantaBarbara             ,17.95,120,34.4,1,1
Susanville               ,18.2,4152,40.3,198,2
TuleLake                 ,10.03,4036,41.9,140,2
Needles                  ,4.63,913,34.8,192,2
Burbank                  ,14.74,699,34.2,47,1
LosAngeles               ,15.02,312,34.1,16,1
LongBeach                ,12.36,50,33.8,12,1
LosBanos                 ,8.26,125,37.8,74,2
Blythe                   ,4.05,268,33.6,155,2
SanDiego                 ,9.94,19,32.7,5,1
Daggett                  ,4.25,2105,34.1,85,2
DeathValley              ,1.66,-178,36.5,194,2
CrescentCity             ,74.87,35,41.7,1,1
Colusa                   ,15.95,60,39.2,91,2
