drink,hasMilk,temp,fat,carb,calories
Hot Chocolate,Milk ,Hot,9,47,320
White Chocolate Mocha,Milk ,Hot,11,53,360
Café Latte,Milk ,Hot,7,19,190
Café Mocha,Milk ,Hot,8,42,290
Cappuccino,Milk ,Hot,4,12,120
Caramel Macchiato,Milk ,Hot,7,35,250
Cinnamon Dolce Latte,Milk ,Hot,6,40,260
Eggnog Latte,Milk ,Hot,21,53,470
Gingerbread Latte ,Milk ,Hot,7,38,260
Iced Caffé Latte,Milk ,Cold,4.5,13,130
Iced Caffé Mocha,Milk ,Cold,6,36,230
Iced Caramel Macchiato,Milk ,Cold,7,37,250
Iced Cinnamon Dolce Latte ,Milk ,Cold,4,34,200
Iced Flavoured Latte,Milk ,Cold,6,36,250
Iced Gingerbread Latte,Milk ,Cold,4,32,190
Iced Peppermint White Chocolate Mocha,Milk ,Cold,9,72,360
Caffe Americano ,Milk ,Hot,0,3,15
Iced White Chocolate Mocha ,Milk ,Cold,9,55,330
Peppermint Mocha,Milk ,Cold,8,58,360
Peppermint White Chocolate Mocha,Milk ,Cold,8,47,430
Chocolate Smoothie,Milk ,Cold,5,53,320
Orange Mango Smoothie,Milk ,Cold,1.5,52,270
Strawberry Smoothie ,Milk ,Cold,2,60,300
Double Chocolaty Chip Frappuccino,Milk ,Cold,7,53,290
Peppermint Mocha Frappuccino,Milk ,Cold,3,45,220
Peppermint Mocha Frappuccino Light,Milk ,Cold,1,30,150
Green Tea Frappuccino,Milk ,Cold,3,64,300
Caramel Frappuccino,Milk ,Cold,2,60,270
Chestnut Praline Frappuccino,Milk ,Cold,2.5,41,210
Coffee Frappuccino,Milk ,Cold,2,50,230
Nitro Cold Brew,Nonmilk,Cold,0,0,5
Vanilla Sweet Cream Cold Brew,Nonmilk,Cold,6,14,110
Iced Coffee,Nonmilk,Cold,0,20,80
Cool Lime ,Nonmilk,Cold,0,11,45
Strawberry Acai ,Nonmilk,Cold,0,18,80
Very Berry Hibiscus ,Nonmilk,Cold,0,18,70
